,Company,Year,SECTOR,Sector,stock_FinancialYEnd,stock_FollowingQtrEnd,BasicEPS,total shareholder's equity,Basic avg shares,profit,ESG_Exposure,ESG_Managed,ESG_Class,BVE,ESG_Index
0,ADM,2020,2,Consumer Staples,52.45191192626953,56.15447616577149,3.19,20000000,556000,1772000,58.75,24.183,7.0,35.97122302158273,1.5820240351944486
1,ADM,2021,2,Consumer Staples,85.06822204589844,73.5248794555664,4.84,22477000,560000,2709000,58.933,24.282,7.0,40.1375,1.5969931120129104
2,ADM,2022,2,Consumer Staples,76.50296020507812,72.962646484375,7.93,24284000,547000,4340000,60.1,23.715,7.0,44.39488117001828,1.6140914016605674
3,ADM,2023,2,Consumer Staples,61.71709060668945,59.95989227294922,6.44,24132000,541000,3483000,57.162,24.278,7.0,44.606284658040664,1.514517125442386
4,AEE,2020,10,Utilities,73.43846893310547,72.78661346435547,3.53,8938000,247000,871000,64.695,28.425,7.545,36.18623481781376,2.3160978565050496
5,AEE,2021,10,Utilities,86.90641784667969,84.310302734375,3.86,9700000,256300,990000,62.688,31.554,5.833,37.846273897776044,1.8599024645997946
6,AEE,2022,10,Utilities,82.19402313232422,78.29534912109375,4.16,10508000,258400,1074000,62.729,33.473,5.0,40.6656346749226,1.711100331226812
7,AEE,2023,10,Utilities,72.60014343261719,70.44337463378906,4.39,11349000,262800,1152000,63.933,35.387,5.0,43.18493150684932,1.8921521390483451
8,AEP,2020,10,Utilities,73.69889831542969,74.28199005126953,4.44,20550900,495718,2200100,72.2,38.438,7.0,41.45683634647118,3.1385613448371803
9,AEP,2021,10,Utilities,89.92811584472656,87.23026275634766,4.97,22433200,500522,2488100,68.025,35.229,7.0,44.81960832890462,2.7349062296759317
10,AEP,2022,10,Utilities,84.82612609863281,79.22364044189453,4.51,23893400,511842,2307200,62.925,34.727,6.0,46.68120240230384,2.1337622087867696
11,AEP,2023,10,Utilities,83.53663635253906,86.1076889038086,4.26,25246700,518904,2208100,61.279,35.737,5.0,48.65389359110741,1.7918335280649216
12,AES,2020,10,Utilities,23.92090797424316,23.41464805603028,0.07,2634000,657143,46000,72.0,38.682,7.0,4.008259998204348,3.1452323089781005
13,AES,2021,10,Utilities,23.52151298522949,19.34463310241699,-0.61,2798000,670492,-409000,78.058,43.244,7.0,4.173055010350608,3.7247756416894853
14,AES,2022,10,Utilities,22.63325881958008,19.60758399963379,-0.82,2437000,665854,-546000,74.837,40.493,7.0,3.6599614930600404,3.395356912851688
15,AES,2023,10,Utilities,17.40439224243164,17.2306022644043,0.37,2488000,669000,249000,71.383,40.15,6.333,3.71898355754858,2.9914319634616837
16,AKAM,2020,7,Information Technology,101.9000015258789,116.5999984741211,3.43,4251296,162490,557054,34.95,13.797,5.0,26.16343159579051,-0.8651127699510404
17,AKAM,2021,7,Information Technology,119.3899993896484,91.33000183105467,4.01,4530014,162665,651642,35.375,14.678,4.5,27.84873205668091,-0.9535545689484514
18,AKAM,2022,7,Information Technology,78.30000305175781,89.87000274658203,3.29,4360187,159089,523672,36.208,17.528,3.0,27.407218600908926,-1.2258627496391346
19,AKAM,2023,7,Information Technology,108.7600021362305,90.08000183105467,3.59,4597155,152510,547629,37.108,20.677,3.0,30.143302078552225,-0.9781651229209397
20,ALB,2020,8,Materials,141.7695007324219,163.8751831054688,3.53,4268227,106402,375764,55.073,18.23,7.0,40.11416138794384,1.02205357287603
21,ALB,2021,8,Materials,216.3252410888672,204.8438262939453,1.07,5625266,115841,123672,55.113,18.207,7.0,48.56023342339932,1.0224064762819147
22,ALB,2022,8,Materials,217.6294708251953,220.0584106445312,22.97,7982627,117120,2689816,56.033,27.128,5.0,68.15767588797814,0.9853466450515327
23,ALB,2023,8,Materials,130.8357391357422,95.1669692993164,13.41,9412180,117317,1573476,56.375,29.455,5.0,80.22861136919629,1.1533887913078078
24,ALGN,2020,5,Health Care,541.530029296875,611.0,22.55,3233865,78760,1775888,27.7,7.253,5.0,41.05973844591163,-1.6295974495358982
25,ALGN,2021,5,Health Care,436.0,236.6699981689453,9.78,3622714,78917,772020,27.7,7.713,4.167,45.90536893191581,-1.8757088553814851
26,ALGN,2022,5,Health Care,334.1400146484375,353.6400146484375,4.62,3601358,78190,361573,27.175,7.711,3.5,46.05906126103082,-2.1213635724170374
27,ALGN,2023,5,Health Care,327.9200134277344,241.4299926757812,5.82,3630489,76426,445053,27.0,7.742,3.0,47.503323476303876,-2.293241558150481
28,ALLE,2020,6,Industrials,119.8752212524414,133.3359375,3.41,829400,92300,314300,35.05,11.397,5.0,8.985915492957746,-1.0174096947040114
29,ALLE,2021,6,Industrials,105.9162139892578,94.8015365600586,5.37,759100,89900,483000,35.008,12.132,5.0,8.443826473859843,-0.9712968185519802
30,ALLE,2022,6,Industrials,104.2212905883789,117.6986618041992,5.2,941800,88000,458000,35.45,11.849,5.0,10.702272727272728,-0.9692837756980731
31,ALLE,2023,6,Industrials,133.6822814941406,117.674072265625,6.15,1318300,87900,540400,37.55,15.23,5.0,14.997724687144482,-0.6507082433997913
32,AME,2020,6,Industrials,124.8592147827148,130.7139434814453,3.8,5949346,229435,872439,38.45,9.568,5.0,25.930420380499925,-0.9791735980141688
33,AME,2021,6,Industrials,130.9798583984375,108.2594833374023,4.29,6871884,230955,990053,38.45,12.483,5.0,29.75421185945314,-0.7885578800951528
34,AME,2022,6,Industrials,143.9048767089844,160.5777435302734,5.04,7476512,231536,1159542,38.075,13.712,5.0,32.290926680948104,-0.7256004136261174
35,AME,2023,6,Industrials,182.3220520019531,166.4416198730469,5.7,8730191,230519,1313188,38.125,14.284,5.0,37.87189342310178,-0.6858754447324498
36,AMGN,2020,5,Health Care,222.7806396484375,219.8728179931641,12.4,9409000,586000,7264000,38.3,17.31,5.0,16.05631399317406,-0.47987733485707534
37,AMGN,2021,5,Health Care,223.2203826904297,226.5121765136719,10.34,6700000,570000,5893000,38.025,18.674,3.167,11.75438596491228,-1.0112035200594776
38,AMGN,2022,5,Health Care,230.2042846679688,213.281005859375,12.18,3661000,538000,6552000,38.383,17.196,4.667,6.804832713754647,-0.5938891245035911
39,AMGN,2023,5,Health Care,280.125,310.2464904785156,12.56,6232000,535000,6717000,38.55,16.587,5.0,11.64859813084112,-0.5155496146782166
40,AMT,2020,9,Real Estate,217.1354064941407,245.3650360107422,3.81,4093500,443640,1690600,26.55,8.939,3.0,9.227076007573709,-2.235858309000984
41,AMT,2021,9,Real Estate,232.6863555908203,236.7339630126953,5.69,5081200,451498,2567700,24.267,12.033,3.0,11.254091933962055,-2.139520335064688
42,AMT,2022,9,Real Estate,194.2323608398437,184.3468322753907,3.83,5572400,461519,1765800,23.35,12.468,3.0,12.074042455456873,-2.153644630334468
43,AMT,2023,9,Real Estate,194.2186584472656,191.0634307861328,3.18,4198200,466063,1483300,24.588,13.697,3.0,9.007795083497296,-2.0158075131047974
44,ANET,2020,7,Information Technology,75.47250366210938,90.57749938964844,2.09,3320291,303936,634557,27.9,9.2,3.0,10.9243097230996,-2.1561206652233857
45,ANET,2021,7,Information Technology,138.9799957275391,93.73999786376952,2.74,3978600,306512,840854,27.9,10.145,3.0,12.980242209114161,-2.094325861301098
46,ANET,2022,7,Information Technology,167.8600006103516,162.0599975585938,4.41,4885820,306473,1352446,27.9,11.147,3.0,15.942089515226463,-2.028803751745402
47,ANET,2023,7,Information Technology,289.9800109863281,350.4800109863281,6.75,7219059,309354,2087321,27.9,11.388,3.0,23.3359161349134,-2.013044441962046
48,ANSS,2020,7,Information Technology,339.5599975585937,347.0599975585937,5.05,4097872,85840,433887,28.25,12.853,3.0,47.73849021435228,-1.9009982387102757
49,ANSS,2021,7,Information Technology,317.6499938964844,239.2899932861328,5.22,4484048,87100,454627,28.204,13.322,3.0,51.48160734787601,-1.872465145906611
50,ANSS,2022,7,Information Technology,332.7999877929688,330.2699890136719,6.02,4865851,87051,523710,27.7,14.586,3.0,55.896554893108636,-1.8132074981529354
51,ANSS,2023,7,Information Technology,347.1600036621094,321.5,5.76,5390364,86833,500412,29.9,15.463,3.0,62.077366899680996,-1.6537295886054209
52,APH,2020,7,Information Technology,31.8934440612793,33.14781951904297,1.01,5384900,1192000,1203400,34.4,10.538,5.0,4.5175335570469795,-1.103755533287946
53,APH,2021,7,Information Technology,36.74992752075195,31.48165702819824,1.33,6302000,1195800,1590800,33.758,11.353,5.0,5.270112058872721,-1.0802649098531876
54,APH,2022,7,Information Technology,40.30868911743164,42.01679611206055,1.59,7015600,1192400,1902300,33.3,11.792,5.0,5.8835961086883595,-1.0728196672802508
55,APH,2023,7,Information Technology,57.46736526489258,67.26284790039062,1.61,8346500,1193000,1928000,34.175,13.992,3.5,6.996227996647108,-1.3856824613363041
56,ARE,2020,9,Real Estate,145.8234252929688,162.5269927978516,6.03,11725712,126106,760791,26.25,11.135,3.0,92.98298257021871,-2.1061857345591406
57,ARE,2021,9,Real Estate,182.8797607421875,132.5437316894531,3.83,16189542,146921,563399,26.25,11.079,3.0,110.19215769018724,-2.1098476488656464
58,ARE,2022,9,Real Estate,117.6902160644531,107.4076919555664,3.18,18972387,161659,513268,26.367,11.712,3.0,117.36053668524487,-2.063023494957211
59,ARE,2023,9,Real Estate,126.1666259765625,115.6635284423828,0.54,18471175,170909,92444,26.6,12.737,3.0,108.07608142344756,-1.9851809195218117
60,AVB,2020,9,Real Estate,164.0546569824219,187.1422424316407,5.89,10751583,140426,825675,24.55,12.328,3.0,76.56404796832496,-2.1070922983618847
61,AVB,2021,9,Real Estate,227.4587097167969,178.997314453125,7.19,10932527,139681,1002199,24.717,13.63,3.0,78.26781738389616,-2.014200216850298
62,AVB,2022,9,Real Estate,159.0364379882812,180.9483337402344,8.13,11253476,139892,1134684,25.125,14.795,2.833,80.44402825036457,-1.9744498091522342
63,AVB,2023,9,Real Estate,182.2992858886719,205.1851501464844,6.56,11783241,141307,927162,25.742,15.85,2.0,83.38752503414551,-2.1530106324538045
64,AVY,2020,8,Materials,173.9944610595703,199.880874633789,6.66,1484900,83151,555900,30.2,11.588,3.0,17.857873026181284,-1.8931942009155414
65,AVY,2021,8,Materials,166.9355621337891,155.9265899658203,8.94,1924400,82606,740100,30.2,12.268,3.0,23.296128610512554,-1.8487280986222545
